,Week_Number,Symbol,High,Low
393,50.0,APOLLOTYRE,173.35,159.6
394,50.0,BAJFINANCE,4103.6,3890.0
395,50.0,CANBK,229.5,207.0
396,50.0,ESCORTS,619.8,587.5
397,50.0,JINDALSTEL,149.55,137.1
398,50.0,RELIANCE,1594.9,1552.95
399,50.0,TATAMOTORS,184.2,157.55
400,51.0,ADANIENT,220.6,205.75
401,51.0,APOLLOTYRE,169.1,163.5
402,51.0,BAJFINANCE,4164.0,4046.5
403,51.0,CANBK,233.0,221.3
404,51.0,ESCORTS,634.95,603.1
405,51.0,JINDALSTEL,158.55,132.5
406,51.0,RELIANCE,1617.7,1562.45
407,51.0,TATAMOTORS,184.85,170.3
408,52.0,ADANIENT,220.6,205.25
409,52.0,APOLLOTYRE,165.05,160.8
410,52.0,BAJFINANCE,4186.0,4132.2
411,52.0,CANBK,233.25,219.35
412,52.0,ESCORTS,632.95,614.05
413,52.0,JINDALSTEL,164.9,156.3
414,52.0,RELIANCE,1580.0,1513.0
415,52.0,TATAMOTORS,179.2,174.2
